n_layer1;n_layer2;dropout_1;dropout_2;act;optim;n_batch;best_val_acc
256;512;0.39825605014543486;0.3635381485239199;relu;adam;256;0.8886
512;128;0.3018088374872464;0.05252006102953052;leakyrelu;rmsprop;128;0.8762
256;256;0.3689507782090992;0.010041968823978203;relu;adam;128;0.8948
256;128;0.0011230049793451158;0.022907122914660412;relu;adam;256;0.8905
128;256;0.27763832394852817;0.08242540857737307;swish;sgd;64;0.8408
256;256;0.2514806122364283;0.14127222786911786;relu;adam;128;0.8919
256;128;0.35287910185492666;0.10561575178338937;relu;adam;256;0.8935
512;512;0.32493799567739007;0.09387799765949194;leakyrelu;rmsprop;128;0.8693
256;256;0.29117612639419066;0.12257828397079279;relu;adam;128;0.8865
256;128;0.20582667239033636;0.24871902252819728;relu;adam;256;0.8931
128;256;0.22236477000617255;0.17914668943813153;swish;sgd;64;0.8417
256;256;0.4531923444897444;0.3408002098991698;relu;adam;128;0.8832
256;128;0.4177979653552376;0.04675893614855581;relu;adam;256;0.8952
512;512;0.38691108275397695;0.06462144146403162;leakyrelu;rmsprop;128;0.8716
256;256;0.2607671167256694;0.07782153123973345;relu;adam;128;0.8939
256;128;0.1661897160556071;0.21070117719405154;relu;adam;256;0.889
128;256;0.2403089887335924;0.23751531625258965;swish;sgd;64;0.8392
256;256;0.14204091392094925;0.03789275497791794;relu;adam;128;0.8949
256;128;0.3359352373636904;0.16014473220558018;relu;adam;256;0.8833
512;512;0.31316919246382097;0.13570923061418314;leakyrelu;rmsprop;128;0.8741
256;256;0.3783059243152155;0.44802639549991086;relu;adam;128;0.8885
256;128;0.48131397978429175;0.002176822398497702;relu;adam;256;0.8872
128;256;0.42544441679336464;0.10718644419357848;swish;sgd;64;0.8426
256;256;0.40093756980602085;0.31793003739749165;relu;adam;128;0.8823
256;128;0.06551860355049755;0.05670217277625661;relu;adam;256;0.8944
512;512;0.437633851776994;0.0878796718171546;leakyrelu;rmsprop;128;0.8634
256;256;0.3560990031701668;0.026778299692094765;relu;adam;128;0.8847
256;128;0.20092086413562238;0.12401145911900877;relu;adam;256;0.8967
256;256;0.11266390840225092;0.40089211508132533;swish;sgd;64;0.8468
128;128;0.03531829291536884;0.19547257006270022;relu;adam;128;0.8874
256;256;0.0895025451349805;0.14725626097824224;relu;adam;256;0.8933
256;512;0.19488520315539684;0.21929621786241021;leakyrelu;adam;128;0.8763
512;256;0.12795019418219553;0.20239916705778493;relu;rmsprop;256;0.8892
256;128;0.20256224385577615;0.11850763109910528;relu;adam;256;0.8882
256;128;0.23361170900285594;0.18658712172293612;relu;adam;256;0.8967
256;128;0.23278151020051502;0.18535164414569716;relu;adam;256;0.8858
256;128;0.18506221551110155;0.17545962025430287;relu;adam;256;0.8923
256;128;0.16809746278536652;0.1585163180147717;relu;adam;256;0.8953
256;128;0.21439877631933432;0.27306406368492536;relu;adam;256;0.8896
256;128;0.24894922375469603;0.2917374849757967;relu;adam;256;0.8872
256;128;0.2663406296557307;0.13036192359816498;relu;adam;256;0.8905
256;128;0.1413955972662648;0.2516862840571304;relu;adam;256;0.8944
256;128;0.284180726393784;0.2347503625376241;relu;adam;256;0.8943
256;128;0.30338052526442927;0.16807514620247907;relu;adam;256;0.8973
256;128;0.2989888646398311;0.19012984626275428;relu;adam;256;0.8931
